[2026-03-20T15:50:26.741Z] GET https://static.linear.app/web/_next/static/chunks/2108-a5b67fe5402f7246.js → 200 (299ms, 222461B)
[2026-03-20T15:50:26.741Z] GET https://static.linear.app/web/_next/static/chunks/27901-fc7beb130e0558f9.js → 200 (299ms, 14877B)
[2026-03-20T15:50:26.741Z] GET https://static.linear.app/web/_next/static/chunks/app/layout-b79f3b3581f766f1.js → 200 (300ms, 52196B)
[2026-03-20T15:50:26.741Z] GET https://static.linear.app/web/_next/static/chunks/69503-4e3a4bc3609d372d.js → 200 (299ms, 27997B)
[2026-03-20T15:50:26.741Z] GET https://static.linear.app/web/_next/static/chunks/64000-c8600e1ecdc5e445.js → 200 (300ms, 63536B)
[2026-03-20T15:50:26.741Z] GET https://static.linear.app/web/_next/static/chunks/62150-ed6814ffb5def1dc.js → 200 (302ms, 430223B)
[2026-03-20T15:50:26.741Z] GET https://static.linear.app/web/_next/static/chunks/58897-ebc923a91d5a604c.js → 200 (300ms, 36497B)
[2026-03-20T15:50:26.741Z] GET https://static.linear.app/web/_next/static/chunks/48383-fd294fe23a842c87.js → 200 (300ms, 11903B)
[2026-03-20T15:50:26.741Z] GET https://static.linear.app/web/_next/static/chunks/68033-bf0510971e0fb28b.js → 200 (301ms, 101659B)
[2026-03-20T15:50:26.741Z] GET https://static.linear.app/web/_next/static/chunks/480-c20b6fdf0529b8e2.js → 200 (301ms, 57736B)
[2026-03-20T15:50:26.741Z] GET https://static.linear.app/web/_next/static/chunks/67564-1fba013040f55d9c.js → 200 (301ms, 25035B)
[2026-03-20T15:50:26.741Z] GET https://static.linear.app/web/_next/static/chunks/52648-97c099a955141368.js → 200 (301ms, 47940B)
[2026-03-20T15:50:26.741Z] GET https://static.linear.app/web/_next/static/chunks/50297-39fbf9042f70c3f0.js → 200 (309ms, 347416B)
[2026-03-20T15:50:26.741Z] GET https://static.linear.app/web/_next/static/chunks/app/(marketing)/page-608dd15b33ad1448.js → 200 (308ms, 741B)
[2026-03-20T15:50:26.741Z] GET https://static.linear.app/web/_next/static/chunks/app/error-ba66f5ff43cb91a1.js → 200 (302ms, 1797B)
[2026-03-20T15:50:26.741Z] GET https://static.linear.app/web/_next/static/chunks/app/not-found-fd4e476df57a0631.js → 200 (308ms, 1216B)
[2026-03-20T15:50:26.741Z] GET https://static.linear.app/web/_next/static/css/fc8bf745806a3a89.css → 200 (138ms, 555B)
[2026-03-20T15:50:26.928Z] GET https://static.linear.app/assets/homepage/pulse-audio.mp3 → 206 (104ms, ?B)
[2026-03-20T15:50:27.030Z] GET https://static.linear.app/static/grain-default.png → pending (?ms, ?B)
[2026-03-20T15:50:27.030Z] GET https://static.linear.app/fonts/Berkeley-Mono-Variable.woff2?v=3.2 → 200 (97ms, 160932B)
[2026-03-20T15:50:27.125Z] GET https://linear.app/cdn-cgi/imagedelivery/fO02fVwohEs9s9UHFwon6A/c7b144b7-4ef0-4991-9bcb-617c6a37d200/f=auto,dpr=2,q=95,fit=scale-down,metadata=none → 200 (119ms, 288621B)
[2026-03-20T15:50:27.125Z] GET https://linear.app/cdn-cgi/imagedelivery/fO02fVwohEs9s9UHFwon6A/6600ca96-e49b-4fd9-c03a-7979faddad00/f=auto,dpr=2,q=95,fit=scale-down,metadata=none → 200 (101ms, 724173B)
[2026-03-20T15:50:27.125Z] GET https://linear.app/cdn-cgi/imagedelivery/fO02fVwohEs9s9UHFwon6A/c7fa8f5f-d439-4329-6a65-de549b51e300/f=auto,dpr=2,q=95,fit=scale-down,metadata=none → 200 (45ms, 1031287B)
[2026-03-20T15:50:27.125Z] GET https://linear.app/cdn-cgi/imagedelivery/fO02fVwohEs9s9UHFwon6A/f28b59f4-538c-4517-cfd7-510913015200/f=auto,dpr=2,q=95,fit=scale-down,metadata=none → 200 (101ms, 3868B)
[2026-03-20T15:50:27.126Z] GET https://linear.app/cdn-cgi/imagedelivery/fO02fVwohEs9s9UHFwon6A/13a0909f-186f-4d83-3fd3-d04883ec2d00/f=auto,dpr=2,q=95,fit=scale-down,metadata=none → 200 (100ms, 3132B)
[2026-03-20T15:50:27.126Z] GET https://linear.app/cdn-cgi/imagedelivery/fO02fVwohEs9s9UHFwon6A/086b510a-f5da-414b-bc9d-228afb968600/f=auto,dpr=2,q=95,fit=scale-down,metadata=none → 200 (99ms, 2749B)
